Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Indie
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Retro
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Pixel Graphics
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,1980s
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Arcade
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Beat 'em up
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Great Soundtrack
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Short
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,2D
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Singleplayer
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Shoot 'Em Up
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Action
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,Story Rich
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Action Roguelike
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Bullet Hell
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Survival
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Roguelite
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Shoot 'Em Up
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Horror
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Top-Down Shooter
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Combat
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Pixel Graphics
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Lovecraftian
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Singleplayer
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Casual
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Strategy
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Action
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Bullet Heaven
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,RPG
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Gun Customization
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Controller
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Score Attack
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,Dark Fantasy
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Chess
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Time Travel
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Time Manipulation
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Board Game
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Difficult
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Puzzle
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Multiplayer
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Turn-Based Strategy
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Strategy
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Psychological
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Turn-Based Tactics
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Singleplayer
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,PvP
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Indie
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Artificial Intelligence
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Psychedelic
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Violent
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Sci-fi
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Colorful
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,Story Rich
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Flight
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Military
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,War
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Arcade
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Shooter
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Cinematic
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,3D
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Multiplayer
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,PvP
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Action
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Simulation
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,First-Person
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Story Rich
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Third Person
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Great Soundtrack
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Singleplayer
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Silent Protagonist
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Sci-fi
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,Realistic
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,VR
