Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
198x,1086010,Y,0,14,Very Positive,2019-06-20,600,Hi-Bit Studios,0.0,291,97,41,155,"['Indie', 'Retro', 'Pixel Graphics', '1980s', 'Arcade', ""Beat 'em up"", 'Great Soundtrack', 'Short', '2D', 'Singleplayer', ""Shoot 'Em Up"", 'Action', 'Story Rich']"
20 minutes till dawn,1966900,Y,0,34,Very Positive,2023-06-08,27666,flanne,1.0,111,256,82,1881,"['Action Roguelike', 'Bullet Hell', 'Survival', 'Roguelite', ""Shoot 'Em Up"", 'Horror', 'Top-Down Shooter', 'Combat', 'Pixel Graphics', 'Lovecraftian', 'Singleplayer', 'Casual', 'Strategy', 'Action', 'Bullet Heaven', 'RPG', 'Gun Customization', 'Controller', 'Score Attack', 'Dark Fantasy']"
5d chess with multiverse time travel,1349230,N,,,Overwhelmingly Positive,2020-07-22,8034,Conor Petersen,2.0,11,90,1,7620,"['Chess', 'Time Travel', 'Time Manipulation', 'Board Game', 'Difficult', 'Puzzle', 'Multiplayer', 'Turn-Based Strategy', 'Strategy', 'Psychological', 'Turn-Based Tactics', 'Singleplayer', 'PvP', 'Indie', 'Artificial Intelligence', 'Psychedelic', 'Violent', 'Sci-fi', 'Colorful', 'Story Rich']"
ace combat 7 skies unknown,502500,Y,0,49,Very Positive,2019-01-31,45498,Bandai Namco Entertainment,7.0,501,748,29,4374,"['Flight', 'Military', 'War', 'Arcade', 'Shooter', 'Cinematic', '3D', 'Multiplayer', 'PvP', 'Action', 'Simulation', 'First-Person', 'Story Rich', 'Third Person', 'Great Soundtrack', 'Singleplayer', 'Silent Protagonist', 'Sci-fi', 'Realistic', 'VR']"
aeve:zero gravity,788510,Y,0,11,Mostly Negative,1970-07-04,28,DIG Games,8.0,,,6,54,"['Action', 'Indie']"
age of empires definitive edition,1017900,Y,0,44,Very Positive,2019-08-19,14178,Xbox Game Studios,9.0,27,1935,30,4683,"['Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Base Building', 'City Builder', 'Historical', 'Classic', 'Remake', 'Real-Time', 'Medieval', 'Co-op', 'Story Rich', 'Great Soundtrack', 'War', 'Action', 'Isometric', 'Retro', ""1990's"", 'Building']"
agents of mayhem,304530,Y,0,49,Mixed,2017-08-15,3256,Deep Silver,10.0,79,993,34,2947,"['Action', 'Open World', 'Third Person', 'Singleplayer', 'Comedy', 'Funny', 'Third-Person Shooter', 'Shooter', 'Sexual Content', 'Adventure', 'Superhero', 'Female Protagonist', 'Violent', 'Sci-fi', 'Memes', 'Sandbox', 'Cyberpunk', 'Atmospheric', 'Multiplayer', 'Controller']"
ai war 2,573410,Y,0,255,Very Positive,2019-10-22,1121,Arcen Games,11.0,5,1285,1,30000,"['4X', 'Grand Strategy', 'Multiplayer', 'Co-op', 'Tower Defense', 'RTS', 'Real Time Tactics', 'Economy', 'Management', 'Military', 'Sci-fi', 'Space', 'War', 'Real-Time', 'Sandbox', 'Strategy', 'Simulation', 'Online Co-Op', 'Tactical', 'Moddable']"
aimlabs,714010,Y,2,100,Very Positive,2023-06-16,136034,Statespace,,,,,,"['FPS', 'Free to Play', 'Shooter', 'Simulation', 'Action', 'First-Person', 'Third-Person Shooter', 'Software', 'Score Attack', 'eSports', 'Controller', 'Level Editor', 'Competitive', 'Co-op', 'PvP', 'PvE', 'Education', '3D', 'Sniper', 'Casual']"
alien spidy,207000,Y,0,25,Mixed,2013-03-20,41,Kasedo Games,12.0,1,995,,,"['Indie', 'Action', 'Adventure', 'Platformer', 'Singleplayer']"
