keys,game_titles,count_main,time_main,count_complete,time_complete
0,198X,291,1h 37m,41,2h 35m
1,20 Minutes Till Dawn,111,4h 16m,82,31h 21m
2,5D Chess With Multiverse Time Travel,11,1h 30m,1,127h
3,A Fistful of Gun,4,3h 7m,2,6h 2m
4,A Good Snowman is Hard to Build,111,2h 14m,74,4h 20m
5,A Hat in Time,540,9h 50m,416,21h 6m
6,A Mortician's Tale,104,57m,152,1h 18m
7,Ace Combat 7: Skies Unknown,501,12h 28m,29,72h 54m
8,Aeve:Zero Gravity,n/a,n/a,6,54m
9,Age of Empires: Definitive Edition,27,32h 15m,30,78h 3m
10,Agents of Mayhem,79,16h 33m,34,49h 7m
11,AI War 2,5,21h 25m,1,500h
12,Alien Spidy,1,16h 35m,n/a,n/a
13,Among Us,n/a,n/a,n/a,n/a
14,ANIME REDEMPTION,1,25m,7,30m
15,Ape Out,552,2h 18m,16,12h 35m
16,ARK: Survival Evolved,52,77h 2m,28,1154h 6m
17,ARK: Survival of the Fittest,n/a,n/a,n/a,n/a
18,Assassin's Creed IV: Black Flag,1.3K,23h 50m,948,63h 52m
19,Assault Android Cactus,90,3h 33m,7,29h 50m
20,Autonauts,7,100h 2m,8,174h 23m
21,Batman: Arkham Origins,1.3K,12h 49m,221,43h 21m
22,Battlefield V,583,6h 30m,40,39h 22m
23,Besiege,45,6h 9m,14,20h 49m
24,BioShock,3.7K,12h 13m,805,24h 16m
25,BioShock 2,1.8K,10h 42m,361,25h 26m
26,BioShock 2 Remastered,1.8K,10h 42m,361,25h 26m
27,BioShock Infinite,4.4K,11h 44m,498,31h 8m
28,BioShock Remastered,3.7K,12h 13m,805,24h 16m
29,Black Desert,18,92h 13m,9,2308h 37m
30,Bloons TD 6,56,37h 50m,23,597h 42m
31,Borderlands 2,1.2K,30h 11m,457,139h 48m
32,Broken Age: The Complete Adventure,351,10h 29m,113,13h 58m
33,Brothers: A Tale of Two Sons,2.3K,3h 9m,1.4K,4h 5m
34,Capitalism 2,1,53h 20m,n/a,n/a
35,Celeste,3.5K,8h 37m,913,40h 25m
36,Company of Heroes 2,105,16h 7m,8,63h 1m
37,Content Warning,n/a,n/a,n/a,n/a
38,Crawl,29,1h 25m,n/a,n/a
39,Crusader Kings III,53,75h 7m,9,773h 4m
40,Crypt of the NecroDancer,147,14h 11m,5,507h 42m
41,Cuphead,1.1K,10h 56m,594,30h 48m
42,Danganronpa 2: Goodbye Despair,967,34h 15m,216,61h 55m
43,Danganronpa V3: Killing Harmony,663,39h 43m,78,103h 10m
44,Danganronpa: Trigger Happy Havoc,1.5K,25h 26m,386,46h 43m
45,Dark Souls II: Scholar of the First Sin,999,36h 3m,685,108h 20m
46,Dark Souls III,1.9K,32h 5m,1.2K,107h 17m
47,Dark Souls: Remastered,944,28h 42m,953,71h 18m
48,Darkest Dungeon,152,56h 22m,75,136h 29m
49,Darksiders,1.1K,17h 8m,429,28h 58m
50,Darksiders II: Deathinitive Edition,254,19h 45m,94,55h 20m
51,Darksiders Warmastered Edition,1.1K,17h 8m,429,28h 58m
52,Darkwood,62,18h 52m,17,41h 37m
53,Dead Rising 4,135,10h,11,42h 32m
54,Death Road to Canada,49,6h 33m,3,244h 20m
55,Death Squared,34,6h 8m,22,9h 30m
56,Death's Gambit: Afterlife,38,14h 17m,10,42h 21m
57,Deep Rock Galactic,89,49h 7m,30,519h 7m
58,Despotism 3k,14,3h 37m,3,61h 14m
59,Deus Ex,339,22h 52m,150,40h 34m
60,Deus Ex: Human Revolution - Director's Cut,350,23h 33m,258,48h 20m
61,Deus Ex: Invisible War,82,9h 4m,53,20h 17m
62,Deus Ex: Mankind Divided,343,16h 19m,234,55h 44m
63,Deus Ex: The Fall,75,4h 18m,62,8h 8m
64,Devil May Cry 4: Special Edition,543,11h 5m,21,71h 6m
65,Devil May Cry 5,1.9K,11h 17m,75,81h 8m
