Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
198X,1086010,Y,0.0,14.0,Very Positive,"20 Jun, 2019",(600 reviews),Hi-Bit Studios,"['Indie', 'Retro', 'Pixel Graphics', '1980s', 'Arcade', ""Beat 'em up"", 'Great Soundtrack', 'Short', '2D', 'Singleplayer', ""Shoot 'Em Up"", 'Action', 'Story Rich']"
20 Minutes Till Dawn,1966900,Y,0.0,34.0,Very Positive,"8 Jun, 2023","27,666",flanne,"['Action Roguelike', 'Bullet Hell', 'Survival', 'Roguelite', ""Shoot 'Em Up"", 'Horror', 'Top-Down Shooter', 'Combat', 'Pixel Graphics', 'Lovecraftian', 'Singleplayer', 'Casual', 'Strategy', 'Action', 'Bullet Heaven', 'RPG', 'Gun Customization', 'Controller', 'Score Attack', 'Dark Fantasy']"
5D Chess With Multiverse Time Travel,1349230,N,,,Overwhelmingly Positive,"22 Jul, 2020","8,034",Conor Petersen,"['Chess', 'Time Travel', 'Time Manipulation', 'Board Game', 'Difficult', 'Puzzle', 'Multiplayer', 'Turn-Based Strategy', 'Strategy', 'Psychological', 'Turn-Based Tactics', 'Singleplayer', 'PvP', 'Indie', 'Artificial Intelligence', 'Psychedelic', 'Violent', 'Sci-fi', 'Colorful', 'Story Rich']"
ACE COMBAT™7: SKIES UNKNOWN,502500,Y,0.0,49.0,Very Positive,"31 Jan, 2019","45,498",Bandai Namco Entertainment,"['Flight', 'Military', 'War', 'Arcade', 'Shooter', 'Cinematic', '3D', 'Multiplayer', 'PvP', 'Action', 'Simulation', 'First-Person', 'Story Rich', 'Third Person', 'Great Soundtrack', 'Singleplayer', 'Silent Protagonist', 'Sci-fi', 'Realistic', 'VR']"
Aeve:Zero Gravity,788510,Y,0.0,11.0,Mostly Negative,"4 Jul, 1970",(28 reviews),DIG Games,"['Action', 'Indie']"
Age of Empires: Definitive Edition,1017900,Y,0.0,44.0,Very Positive,"19 Aug, 2019","14,178",Xbox Game Studios,"['Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Base Building', 'City Builder', 'Historical', 'Classic', 'Remake', 'Real-Time', 'Medieval', 'Co-op', 'Story Rich', 'Great Soundtrack', 'War', 'Action', 'Isometric', 'Retro', ""1990's"", 'Building']"
Agents of Mayhem,304530,Y,0.0,49.0,Mixed,"15 Aug, 2017","3,256",Deep Silver,"['Action', 'Open World', 'Third Person', 'Singleplayer', 'Comedy', 'Funny', 'Third-Person Shooter', 'Shooter', 'Sexual Content', 'Adventure', 'Superhero', 'Female Protagonist', 'Violent', 'Sci-fi', 'Memes', 'Sandbox', 'Cyberpunk', 'Atmospheric', 'Multiplayer', 'Controller']"
AI War 2,573410,Y,0.0,255.0,Very Positive,"22 Oct, 2019","(1,121 reviews)",Arcen Games,"['4X', 'Grand Strategy', 'Multiplayer', 'Co-op', 'Tower Defense', 'RTS', 'Real Time Tactics', 'Economy', 'Management', 'Military', 'Sci-fi', 'Space', 'War', 'Real-Time', 'Sandbox', 'Strategy', 'Simulation', 'Online Co-Op', 'Tactical', 'Moddable']"
Aimlabs,714010,Y,2.0,100.0,Very Positive,"16 Jun, 2023","136,034",Statespace,"['FPS', 'Free to Play', 'Shooter', 'Simulation', 'Action', 'First-Person', 'Third-Person Shooter', 'Software', 'Score Attack', 'eSports', 'Controller', 'Level Editor', 'Competitive', 'Co-op', 'PvP', 'PvE', 'Education', '3D', 'Sniper', 'Casual']"
Alien Spidy,207000,Y,0.0,25.0,Mixed,"20 Mar, 2013",(41 reviews),Kasedo Games,"['Indie', 'Action', 'Adventure', 'Platformer', 'Singleplayer']"
